ID,Type of Defect,Date Recorded,Stage Detected,Description,Risk,Part Involved,Car Model
30,Other,5/11/2019,Customer Delivery,Point century college school never.,Low,Transmission,SUV
31,Mechanical,3/18/2013,Customer Delivery,Teacher may woman century lawyer present.,Medium,Other,SUV
32,Body,3/7/2023,Customer Delivery,Then most significant art box.,Medium,Other,SUV
33,Electrical,6/19/2023,After Sales,Next stop look and month fly.,Low,Suspension,Hatchback
34,Other,11/1/2016,Testing,View several better discussion.,Low,Electrical System,Hatchback
35,Body,8/26/2023,Production,Stock happy him cover special.,High,Suspension,SUV
36,Body,12/22/2022,Customer Delivery,To whom Congress kid nearly.,Medium,Body Panels,SUV
37,Other,3/20/2023,After Sales,Apply hour read good audience through.,Low,Brakes,SUV
38,Other,8/17/2023,Production,Offer right from girl fall.,Low,Electrical System,Truck
39,Body,10/3/2021,After Sales,Land team floor.,Low,Interior,Hatchback
40,Software,12/9/2022,Customer Delivery,Ten effort which defense friend.,High,System,Truck
41,Electrical,5/8/2017,Production,Reflect apply watch tax large occur common task.,Low,Other,Hatchback
42,Other,11/15/2014,Testing,Why tough throughout the a.,Medium,Body Panels,SUV
43,Software,4/7/2023,Testing,Charge information dinner draw perform.,Low,Other,Truck
44,Body,2/17/2022,Customer Delivery,Bill medical another point.,Medium,Electrical System,Truck
45,Mechanical,10/30/2022,Customer Delivery,Source citizen pay night participant sense.,High,Suspension,Truck
46,Mechanical,1/20/2021,After Sales,Mention skill natural employee accept car suggest let.,Low,Brakes,Truck
47,Software,3/13/2023,Customer Delivery,Poor or option three light.,High,Other,Hatchback
48,Electrical,10/20/2023,Testing,Bit house chance evidence apply note.,High,Electrical System,Sedan
49,Software,11/15/2023,Customer Delivery,Country development feel magazine should.,Medium,Other,Truck
50,Other,12/26/2021,After Sales,Value too probably other same leg never car.,Low,Suspension,Truck
51,Software,1/3/2011,Customer Delivery,Cover each town usually.,Low,System,Hatchback
52,Other,8/29/2015,Testing,Start notice serious myself left affect.,Low,Other,Truck
53,Mechanical,10/17/2023,Production,Policy agency despite nation significant free.,Medium,Transmission,Hatchback
54,Electrical,8/3/2021,Customer Delivery,Picture spend pretty card make senior.,High,Transmission,Truck
55,Body,12/28/2023,Testing,Control character project main window special price.,High,Electrical System,SUV
56,Body,2/1/2013,Customer Delivery,Standard I exactly my.,Low,Transmission,Hatchback
57,Body,10/5/2014,After Sales,Relationship such suggest fear reality call wife media.,High,Suspension,SUV
58,Body,8/9/2019,Production,Six certainly citizen property wait Mr.,Medium,Other,Hatchback
59,Mechanical,6/22/2018,After Sales,Green within hear teacher.,High,Transmission,SUV
60,Mechanical,7/31/2020,After Sales,Decision important management peace.,High,Suspension,Sedan
61,Mechanical,8/20/2013,Testing,When respond deep law oil level never.,Low,Suspension,SUV
62,Other,11/16/2019,Customer Delivery,They let class generation citizen.,High,Brakes,Truck
63,Electrical,2/5/2022,Production,East onto hand special president.,High,Brakes,Hatchback
64,Mechanical,10/6/2023,Customer Delivery,Whose world rise economic.,Medium,Body Panels,Sedan
65,Body,7/17/2021,Production,Century hold through.,Medium,Electrical System,Truck
66,Mechanical,6/11/2017,After Sales,Read message teach group modern usually.,Medium,Suspension,Hatchback
67,Body,10/29/2021,After Sales,They citizen appear meeting education challenge rate building.,High,Engine,Hatchback
68,Software,8/5/2022,After Sales,About laugh prevent maybe training rich either.,High,System,Sedan
69,Mechanical,1/11/2021,Production,Rather person population between may.,Medium,Electrical System,Sedan
70,Mechanical,10/5/2021,Testing,Policy you sometimes defense no number.,High,Transmission,Truck
71,Electrical,3/26/2014,Customer Delivery,Some also century clearly final event college.,Low,Interior,Sedan
72,,8/7/2019,,,,,
73,Body,4/23/2022,After Sales,Knowledge hope growth decision give.,Medium,Engine,Sedan
74,Body,9/21/2022,Customer Delivery,Table likely increase cup feel yard.,Medium,Engine,SUV
75,Software,6/10/2019,After Sales,Mention ago real describe rest public.,Medium,Other,Truck
76,Mechanical,11/15/2017,After Sales,Realize smile system fish late consider.,High,Body Panels,Sedan
77,Electrical,6/29/2021,Customer Delivery,Article early management public.,High,Suspension,SUV
78,,9/10/2017,,,,,
79,,1/8/2016,,,,,
80,Software,12/22/2023,Testing,Buy affect above throughout consumer.,High,Other,Hatchback
81,Software,12/22/2023,Testing,Your she pass who allow professional create claim.,Medium,Other,SUV
82,Electrical,3/2/2023,Testing,Common heavy beautiful security lay.,Medium,Suspension,Sedan
83,Mechanical,1/4/2023,Customer Delivery,Should pick cause certainly especially.,High,Electrical System,Sedan
84,Other,3/12/2023,After Sales,Certainly military training city nearly call past.,High,Suspension,Truck
85,Electrical,10/22/2017,After Sales,Two whom other offer kid series what.,Medium,Interior,Hatchback
86,Body,10/13/2023,Customer Delivery,Ability get possible resource against beat.,Low,Engine,Hatchback
87,Electrical,11/1/2023,Testing,Me hold teach learn page.,High,Engine,Truck
88,Software,4/26/2020,Customer Delivery,Worry million member certain.,Medium,System,Sedan
89,Other,10/21/2014,Testing,Do seem account away nation card weight.,High,Engine,Sedan
90,Mechanical,1/10/2021,Testing,Establish study defense skin scientist scene population.,Medium,Interior,SUV
91,Other,9/21/2023,Testing,Manager front time rock office seem movie.,Medium,Suspension,Hatchback
92,Body,8/18/2017,Production,Successful bed conference phone save stuff.,Medium,Suspension,Hatchback
93,Other,5/28/2021,After Sales,Seat shoulder stuff phone.,Low,Transmission,SUV
94,Mechanical,1/15/2022,Production,However early minute company organization none.,Medium,Brakes,Truck
95,Mechanical,6/2/2019,Testing,To fish would mission.,Low,Suspension,Sedan
96,Electrical,9/18/2019,Production,Across per close military each.,Medium,Transmission,Sedan
97,Mechanical,4/7/2019,Testing,Degree write structure idea type wife impact.,Low,Brakes,Sedan
98,,6/13/2022,,,,,
99,,11/7/2023,,,,,
100,Electrical,11/22/2011,Customer Delivery,Mouth how while camera tell lose blue before.,Low,Body Panels,Truck
101,Electrical,9/22/2023,After Sales,Particularly country relationship child police.,High,Other,Sedan
102,Other,11/2/2014,After Sales,Front view yet the put.,High,Electrical System,Hatchback
103,Mechanical,10/19/2023,After Sales,Would particularly upon next.,Medium,Body Panels,SUV
104,,10/11/2023,,,,,
105,,11/14/2021,,,,,
106,Body,7/28/2021,Customer Delivery,Memory seat dinner economy.,Low,Other,Sedan
107,Software,8/17/2022,Customer Delivery,Agree continue rate finish.,Low,System,Truck
108,Software,9/2/2021,After Sales,Nothing remain above place occur.,High,System,SUV
109,Other,5/22/2022,After Sales,Do he once final training might.,Low,Interior,SUV
110,Body,4/28/2016,After Sales,Statement effort able major picture him else.,Medium,Transmission,Sedan
111,Other,11/9/2021,Production,Stop certain employee.,Low,Transmission,Hatchback
112,Software,8/17/2020,Customer Delivery,Whether professor economic century floor other.,Low,System,SUV
113,Other,3/21/2018,Production,Though him population suffer capital memory color eight.,High,Body Panels,SUV
114,,12/30/2023,,,,,
115,Body,1/28/2023,Customer Delivery,Over born student sea popular American lead leg.,Medium,Body Panels,Hatchback
116,Electrical,12/30/2020,Production,Than admit ago.,Medium,Body Panels,Hatchback
117,Software,9/10/2022,Testing,Modern instead will decision mean.,Low,System,SUV
118,Electrical,5/8/2020,Customer Delivery,Must big physical answer difference brother.,High,Body Panels,SUV
119,Body,4/30/2014,Testing,Let couple role future physical enter doctor.,Medium,Interior,Sedan
120,Mechanical,4/6/2019,After Sales,Scene throw level white.,Low,Electrical System,SUV
121,,1/30/2022,,,,,
122,Other,7/16/2019,Testing,Effect simply know cold herself.,Low,Brakes,Sedan
123,Software,7/2/2018,Customer Delivery,Material mission know religious.,High,Other,Sedan
124,Body,11/5/2016,Production,Up with already medical such every go party.,Medium,Interior,Hatchback
125,,8/7/2020,,,,,
126,Body,8/19/2023,Testing,Discuss receive hour follow big doctor goal.,Medium,Other,SUV
127,Mechanical,3/30/2018,Customer Delivery,Entire old sell thank star.,Low,Brakes,SUV
128,Mechanical,8/1/2020,Production,Season population four state.,High,Brakes,Truck
129,Mechanical,6/25/2017,Production,Lawyer especially begin throw on win.,High,Electrical System,Truck
130,Body,11/29/2023,After Sales,Order probably wide article less focus.,High,Interior,Truck
131,Electrical,8/30/2017,After Sales,School benefit whole marriage.,Medium,Suspension,Sedan
132,Body,11/9/2018,After Sales,Condition public thousand PM my employee room population.,High,Other,Truck
133,Other,3/4/2021,Production,Situation these economic dream building civil ask thus.,Low,Transmission,Sedan
134,Mechanical,12/24/2023,Production,Just manage successful management.,Low,Transmission,SUV
135,Other,9/18/2023,Testing,Total part again sea sister.,Low,Other,SUV
136,Software,3/14/2022,Production,Everything quite once its animal window his.,Medium,System,Sedan
137,Mechanical,12/24/2015,Testing,After interview education important.,Medium,Other,Sedan
138,Software,12/31/2023,After Sales,Certain miss medical food he safe maybe.,High,Other,SUV
139,Electrical,3/2/2021,Production,Discussion environmental remain.,Low,Body Panels,Sedan
140,Mechanical,12/16/2018,Customer Delivery,Become which health owner.,Low,Brakes,SUV
141,Mechanical,6/23/2023,Testing,Reality early push way.,High,Transmission,Hatchback
142,Electrical,7/23/2013,Testing,Congress course phone theory change.,Low,Interior,Truck
143,,12/29/2023,,,,,
144,Other,3/2/2018,Testing,Interesting away stop us skill theory.,Low,Suspension,Sedan
145,Other,3/28/2014,After Sales,Support all unit stuff note development.,High,Suspension,SUV
146,Electrical,11/8/2018,Production,Especially those night section painting wall morning.,Low,Interior,SUV
147,Electrical,12/12/2015,After Sales,Red follow financial pretty security.,Medium,Body Panels,Truck
148,Body,12/18/2013,After Sales,Western face magazine difference its above.,Low,Electrical System,Sedan
149,Mechanical,12/1/2016,Testing,Edge crime account.,Low,Transmission,SUV
150,Other,4/15/2014,Customer Delivery,Because industry thank option.,Low,Body Panels,Truck
151,Mechanical,10/23/2023,After Sales,Beyond reveal strong business organization.,Medium,Electrical System,Truck
152,Software,5/17/2019,Production,Especially focus hundred five.,High,System,Sedan
153,Other,3/29/2023,After Sales,Strategy here direction place east movement.,High,Transmission,Sedan
154,Electrical,7/30/2012,After Sales,Old detail apply section may.,Low,Interior,Sedan
155,Electrical,5/1/2021,After Sales,Professional yourself will candidate two.,Low,Brakes,SUV
156,Electrical,11/20/2023,After Sales,Explain among Democrat speech.,Low,Brakes,Hatchback
157,Software,10/31/2023,Customer Delivery,All help catch research occur market couple.,High,System,Sedan
158,Electrical,1/17/2023,After Sales,Friend why fast fight Mrs money technology.,Low,Suspension,Truck
159,Other,2/7/2015,Production,Bank tree care writer.,Medium,Interior,Sedan
160,Software,7/23/2019,Production,Require else point.,High,System,SUV
161,,10/6/2018,,,,,
162,Mechanical,10/30/2021,Customer Delivery,Know listen down adult up threat drug.,Low,Body Panels,Truck
163,Body,1/13/2014,After Sales,National best I loss thing answer state.,High,Suspension,SUV
164,Electrical,12/9/2022,Customer Delivery,Research back cup partner enter loss.,Low,Transmission,Sedan
165,Electrical,8/2/2023,Customer Delivery,Reflect protect detail shoulder soldier Republican.,Low,Suspension,Sedan
166,Other,7/1/2016,Testing,Movement although again live.,Low,Other,Sedan
167,Software,4/23/2017,After Sales,Another man very test federal month artist site.,High,System,Hatchback
168,Electrical,5/15/2023,After Sales,Go far those crime once always.,High,Other,Hatchback
169,Body,3/29/2021,After Sales,Black factor all away work once mean manager.,High,Engine,SUV
170,Body,2/5/2016,Testing,Daughter loss teacher rise sign than.,Medium,Other,Sedan
171,Mechanical,8/28/2018,After Sales,Clearly control positive difficult food.,Low,Interior,Truck
172,Other,9/21/2023,After Sales,Government watch picture example return.,Medium,Other,Sedan
173,Other,4/10/2022,Testing,Whom rock add.,Low,Brakes,Hatchback
174,Body,11/30/2017,After Sales,News memory science moment probably.,Low,Body Panels,Truck
175,Software,11/5/2015,After Sales,Try weight material similar window always.,High,System,Hatchback
176,Other,1/18/2021,Testing,At change week room.,Medium,Suspension,Hatchback
177,Body,12/1/2016,Customer Delivery,Trouble social politics interesting city keep.,High,Transmission,SUV
178,Other,7/6/2021,Customer Delivery,Before never site another break.,Medium,Electrical System,Hatchback
179,Body,9/29/2023,Customer Delivery,Strategy authority learn bed check board.,Low,Body Panels,SUV
180,Mechanical,7/28/2021,Production,Face no receive all it land.,Low,Suspension,Truck
181,Software,9/23/2022,Customer Delivery,Mention decade daughter key visit become.,Medium,System,Hatchback
182,Software,6/2/2016,Testing,Population save she candidate conference.,High,System,Hatchback
183,Other,7/28/2016,After Sales,Themselves contain ok series here.,Medium,Engine,Sedan
184,Other,10/27/2023,Production,Pm product trouble.,High,Brakes,Sedan
185,Other,6/5/2011,Testing,Sing seek case.,High,Brakes,Truck
186,Body,11/19/2021,After Sales,Age someone visit scene.,Medium,Body Panels,SUV
187,Software,6/2/2023,Customer Delivery,Develop after part near mention.,Low,Other,Sedan
188,Electrical,12/19/2023,After Sales,There investment great nice factor including question.,High,Suspension,Hatchback
189,Other,11/14/2022,Testing,State remain local role for bill near.,High,Engine,Sedan
190,Mechanical,8/30/2020,After Sales,Listen join blue describe.,Medium,Engine,SUV
191,Other,5/5/2016,Customer Delivery,Hold leader history accept must wonder itself shoulder.,Medium,Electrical System,SUV
192,Software,6/5/2019,After Sales,Boy effect husband bar collection hold.,High,Other,Hatchback
193,Body,3/7/2021,After Sales,Light series money sea trip.,Medium,Suspension,Sedan
194,Other,11/28/2023,Production,Evidence quite just popular.,Low,Transmission,Truck
195,Electrical,2/24/2020,Production,Research collection culture improve admit best this.,Medium,Other,Hatchback
196,Software,7/26/2022,Production,Difference run beat task face now million.,Low,Other,SUV
197,Mechanical,1/29/2017,Customer Delivery,Store purpose low win well look.,Low,Other,Truck
198,Body,9/2/2019,Testing,Pass huge institution president.,Medium,Engine,Truck
199,Electrical,5/20/2015,Production,Key build time during run two.,High,Transmission,SUV
200,Body,9/9/2017,Production,Red like bar everyone.,High,Other,Hatchback
201,Mechanical,8/5/2021,Production,Measure action expert radio north.,Medium,Body Panels,SUV
202,Body,9/18/2023,After Sales,One scientist space grow identify.,High,Electrical System,Truck
203,Body,12/30/2014,Customer Delivery,Miss financial guess fight movement school movie until.,Medium,Suspension,Hatchback
204,Other,8/21/2022,Production,Real even drive sometimes high time.,Medium,Transmission,Hatchback
205,Body,11/29/2023,Testing,During entire about surface training.,Medium,Electrical System,SUV
206,Software,12/23/2023,Production,Media focus relate deep oil.,High,Other,Truck
207,Software,11/17/2021,After Sales,Former it avoid control Republican red.,Medium,Other,SUV
208,Electrical,5/21/2022,Testing,Challenge determine plan store newspaper sign ask Mr.,High,Suspension,SUV
209,Software,7/24/2021,Customer Delivery,Task cost possible arrive.,High,System,Truck
210,Software,7/30/2017,Testing,Spend why large prepare feel about analysis machine.,High,Other,SUV
211,,4/9/2020,,,,,
212,,4/20/2023,,,,,
213,Mechanical,5/28/2022,Customer Delivery,Because each accept nothing ten ok study.,Low,Suspension,Sedan
214,Mechanical,3/10/2021,Production,Sense attorney debate lose develop avoid trip.,Medium,Other,SUV
215,Other,5/15/2015,Testing,Join generation including deal final.,High,Transmission,SUV
216,Other,11/18/2016,Testing,Some push character create area agent.,High,Other,Hatchback
217,Mechanical,4/13/2018,After Sales,Beautiful not southern bar tell.,Low,Brakes,SUV
218,Other,1/11/2023,Production,Reason still Mr move keep red rock.,Low,Suspension,Truck
219,Software,11/19/2020,Customer Delivery,Air improve truth unit.,Low,System,Sedan
220,Other,6/2/2017,Production,Western leader protect edge since important.,High,Electrical System,Hatchback
221,Software,9/16/2023,Testing,Method effect shoulder part over newspaper available.,Medium,System,Sedan
222,Other,3/21/2018,After Sales,Doctor window practice kitchen might.,Low,Body Panels,SUV
223,Electrical,2/25/2021,Production,Much sometimes card conference.,Low,Transmission,Hatchback
224,Body,8/18/2022,After Sales,Effect alone catch student always laugh mention.,Low,Brakes,SUV
225,Body,3/31/2022,Customer Delivery,Service soon government expert environmental grow.,High,Electrical System,Truck
226,Electrical,7/28/2015,Customer Delivery,Sing dark person.,Low,Suspension,Sedan
227,Other,10/13/2023,Customer Delivery,Also about order.,Low,Brakes,SUV
228,Other,7/31/2022,Testing,Him million owner yard wonder.,High,Electrical System,SUV
229,Electrical,1/23/2016,Production,Wind follow perform third.,Medium,Suspension,Hatchback
230,Electrical,8/18/2015,After Sales,Moment forward money.,Low,Suspension,Sedan
231,Mechanical,8/6/2019,After Sales,Laugh happen argue situation necessary hard.,Low,Transmission,Truck
232,Software,7/26/2022,Production,Across industry say near might.,High,Other,Truck
233,Software,4/30/2017,After Sales,Stuff I market.,Medium,Other,SUV
234,Body,1/21/2016,Testing,Smile now consumer be staff light eight.,Low,Engine,Sedan
235,Other,10/28/2022,Customer Delivery,Compare range plan interesting seat impact too hope.,Medium,Transmission,Truck
236,Body,4/18/2023,Testing,Agreement serious world picture.,Medium,Electrical System,Hatchback
237,Software,1/26/2018,Testing,Above general until well watch teach.,Medium,System,SUV
238,Software,10/27/2017,Customer Delivery,Account seat write resource education never PM.,Low,Other,Sedan
239,Electrical,6/16/2018,Production,Cell lead long safe you occur.,Low,Body Panels,Truck
240,Other,9/29/2021,Testing,Protect prepare particular serve decision another newspaper none.,Low,Transmission,Truck
241,Software,7/21/2020,Customer Delivery,Region certain old movie before within real.,Low,System,Sedan
242,Other,9/22/2020,Customer Delivery,Some ask right always add wrong.,Low,Body Panels,SUV
243,Other,10/7/2023,After Sales,Side tend opportunity.,Low,Interior,Sedan
244,Mechanical,4/7/2013,Testing,Pressure second most.,Low,Suspension,Hatchback
245,Electrical,8/13/2023,After Sales,Fly key challenge century.,Medium,Body Panels,SUV
246,Mechanical,5/28/2023,After Sales,Can factor lay expert.,Medium,Interior,SUV
247,Software,10/3/2023,Production,Nearly reality price think.,High,System,Truck
248,Other,1/23/2021,Customer Delivery,Black accept approach father however history senior.,Medium,Suspension,Hatchback
249,Mechanical,6/23/2020,Customer Delivery,Him four live expect thus spend property.,Low,Electrical System,Hatchback
250,Body,8/12/2020,Customer Delivery,Nation news any election.,Low,Other,Hatchback
251,Software,10/3/2023,Testing,Deal individual dark front.,Medium,System,Sedan
252,Electrical,7/14/2015,After Sales,Face common water usually.,Low,Engine,Truck
253,Electrical,9/16/2013,Customer Delivery,Keep hour hope.,Low,Other,Truck
254,Body,2/10/2021,After Sales,Recent today itself picture.,Medium,Body Panels,Hatchback
255,Electrical,11/1/2014,Testing,Firm seek tree painting structure notice new job.,High,Engine,Sedan
256,Electrical,3/10/2020,Customer Delivery,However leg interest.,Low,Suspension,Sedan
257,Electrical,5/3/2021,Customer Delivery,Science vote source cover.,High,Brakes,Hatchback
258,,2/3/2023,,,,,
259,Mechanical,8/19/2021,Production,Huge upon my check environment local.,High,Suspension,Sedan
260,Software,9/10/2023,After Sales,Experience image size believe across rest.,Low,Other,Truck
261,Electrical,10/12/2016,Production,Style age various game soon matter.,High,Transmission,SUV
262,Mechanical,12/27/2016,After Sales,Difficult program wear ready white across may.,High,Interior,Truck
263,Electrical,8/28/2023,Production,Your local able project.,Low,Brakes,Truck
264,Mechanical,11/15/2020,Customer Delivery,Sure threat behavior example.,Low,Suspension,Hatchback
265,Other,4/29/2020,Customer Delivery,Break computer air plan force air within.,Medium,Transmission,Sedan
266,Other,3/12/2022,After Sales,Represent in class necessary east allow quite.,Low,Interior,Sedan
267,Body,4/20/2012,Testing,Old car measure most write.,Medium,Transmission,Truck
268,Software,5/1/2022,After Sales,Huge half here practice point appear chair.,High,Other,Sedan
269,Body,6/16/2019,Production,Discuss interesting son federal produce hundred eight.,High,Transmission,Hatchback
270,Body,11/18/2021,Customer Delivery,Mother half old oil room.,High,Body Panels,Hatchback
271,Mechanical,8/22/2023,Production,Next great family wide lawyer evidence.,High,Body Panels,SUV
272,Other,6/29/2013,Testing,Put use list kind investment sister task.,High,Brakes,Hatchback
273,Electrical,12/10/2022,Customer Delivery,Energy allow soon similar it second collection general.,Low,Engine,Hatchback
274,Body,8/14/2023,Production,Small mother production.,High,Transmission,SUV
275,Mechanical,2/12/2023,Production,Hope especially focus lose she leader participant.,High,Brakes,Hatchback
276,Other,6/20/2023,Production,Than wind arrive suggest series voice.,High,Interior,Hatchback
277,Software,6/19/2020,After Sales,He four week including final without.,High,System,Sedan
278,Software,12/18/2022,After Sales,Along gun perhaps key chair song.,Medium,Other,Truck
279,Body,9/4/2022,After Sales,Young defense effort I situation international.,Low,Other,Hatchback
280,Other,1/30/2013,Testing,Blood dog step power night.,Low,Other,SUV
281,Other,11/27/2015,Testing,War participant after find task.,Low,Body Panels,Sedan
282,Mechanical,9/25/2023,Customer Delivery,Everything remember mean once understand simply meet rock.,Medium,Engine,Hatchback
283,Mechanical,10/13/2023,Production,Enjoy rock result day unit.,High,Brakes,SUV
284,Software,8/10/2023,Testing,Finish hear could population month.,High,System,SUV
285,Electrical,3/2/2015,Production,Five report vote experience appear group prepare.,Low,Other,SUV
286,Other,6/28/2022,Testing,Late rock ball mother fine accept.,Low,Body Panels,Hatchback
287,Other,11/5/2023,After Sales,Against behavior body herself however mother hard indicate.,High,Engine,Truck
288,Body,5/28/2023,Customer Delivery,Per rate clear attorney why describe.,High,Body Panels,Hatchback
289,Software,6/3/2020,Testing,Learn choose cause long few theory night again.,Low,System,Truck
290,Software,12/12/2022,Testing,Choose though particularly list control figure.,Low,Other,Sedan
291,Other,5/18/2016,Customer Delivery,Society where challenge office tax experience help save.,High,Body Panels,SUV
292,Other,4/17/2013,Testing,Resource end art.,High,Transmission,Truck
293,Mechanical,3/22/2016,Testing,Media player television face.,High,Electrical System,Truck
294,Other,12/10/2020,After Sales,Congress oil answer wide food treat card cold.,High,Suspension,SUV
295,Electrical,9/26/2018,Production,Begin coach certainly significant.,Low,Body Panels,Truck
296,Mechanical,9/20/2017,Customer Delivery,Author appear special with available.,Medium,Electrical System,SUV
297,Electrical,11/7/2021,After Sales,Almost conference skill.,High,Transmission,SUV
298,Body,12/1/2022,Customer Delivery,Since administration himself likely series.,Medium,Suspension,Hatchback
299,Mechanical,6/28/2023,After Sales,Vote often federal fall protect tax.,Medium,Transmission,Truck
300,Mechanical,8/30/2022,Production,Discuss education tell capital single.,Medium,Interior,SUV
301,Electrical,8/24/2023,After Sales,House produce kitchen see hundred ever nation.,Medium,Transmission,Sedan
302,Mechanical,10/4/2023,Testing,Building who most born teach well.,Medium,Other,Truck
303,Electrical,6/30/2022,Testing,Large have member than.,Low,Other,SUV
304,Other,5/18/2020,Customer Delivery,Start story leader evening.,Low,Brakes,Hatchback
305,Other,7/6/2022,Production,Quality pretty before likely bar foot player.,Low,Interior,Sedan
306,Body,9/19/2019,Testing,Speak center raise major how significant.,Low,Electrical System,Sedan
307,Body,3/25/2011,After Sales,Source surface future care see.,Low,Electrical System,Truck
308,,3/3/2023,,,,,
309,Software,10/27/2017,Production,Land investment rule goal.,Medium,System,Sedan
310,Mechanical,3/3/2016,Production,Kid only what board rich.,High,Engine,SUV
311,Body,7/26/2022,Customer Delivery,Assume growth collection box western able nature.,High,Interior,Truck
312,Software,9/23/2022,Customer Delivery,That where only open.,Low,System,Truck
313,Mechanical,4/23/2021,Customer Delivery,Look open serve within market.,Medium,Transmission,SUV
314,Electrical,8/19/2020,After Sales,Continue paper find on wonder because.,High,Engine,SUV
315,Software,8/28/2019,After Sales,Really the buy fire game sing specific ability.,High,System,Sedan
316,Electrical,11/13/2013,Testing,Make every history public.,High,Suspension,Sedan
317,Electrical,8/14/2018,Customer Delivery,Know than behavior color thank hour million.,High,Interior,Truck
318,Electrical,6/11/2019,Production,Focus trade vote financial space ten add.,High,Suspension,Hatchback
319,Software,10/12/2016,Production,Me player near bad radio somebody.,Low,System,Sedan
320,Other,2/7/2023,After Sales,Cost crime behind.,Low,Electrical System,Sedan
321,Mechanical,1/24/2017,Production,Loss within rather call should relate feel.,High,Transmission,SUV
322,Other,11/20/2015,After Sales,To bed north every boy by.,High,Engine,SUV
323,Body,10/26/2019,Production,Special Mr present stay.,Medium,Electrical System,SUV
324,Mechanical,10/25/2019,After Sales,Feel activity with Democrat.,High,Other,Sedan
325,Other,10/22/2019,Testing,Seven tree occur technology than.,Low,Electrical System,Truck
326,Software,5/20/2012,Testing,Best act each best activity name like conference.,Medium,System,Hatchback
327,Other,4/29/2020,After Sales,Only nor should moment age want action.,Low,Brakes,Truck
328,Electrical,10/31/2019,Customer Delivery,Break response against try doctor business.,High,Electrical System,Hatchback
329,Software,5/28/2023,Customer Delivery,Every unit shake themselves you wife wear.,Medium,Other,Sedan
330,Other,5/13/2014,Customer Delivery,Start medical official face town source rest.,High,Brakes,Hatchback
331,Mechanical,6/19/2019,Customer Delivery,About represent discover wrong nearly site.,High,Interior,Sedan
332,Body,6/30/2017,Production,Picture material choose point performance become level.,Medium,Other,Truck
333,Body,5/31/2021,After Sales,Night recognize money use.,Low,Engine,SUV
334,Body,10/21/2023,After Sales,Read lawyer very loss.,Low,Other,Truck
335,,11/9/2017,,,,,
336,Body,7/27/2020,Production,War message memory believe gun key certainly.,Medium,Suspension,SUV
337,Mechanical,9/7/2014,Production,Property ago matter my official position focus.,Low,Other,SUV
338,Body,8/11/2019,Production,Benefit by growth check camera outside.,Medium,Other,Truck
339,Body,6/4/2020,After Sales,Determine word light test million our clear.,High,Electrical System,Sedan
340,Mechanical,1/3/2020,Customer Delivery,Second tax suddenly Congress else new read at.,Medium,Body Panels,Sedan
341,Mechanical,5/21/2022,Customer Delivery,Front action whom ok.,Medium,Brakes,Sedan
